Donate ID,Donate Date,Gender,Deposit Amount,Preferred Color of Device,Ice Cream Products Consumed Per Week,Favorite Flavor Of Ice Cream,Donated To Kick Starter Before,Household Income,Do you own a Keurig,How many desserts do you eat a week
984,7/1/2019,female,100,red,2,chocolate,no,>100K,yes,6
985,7/1/2019,male,100,no preference,9,no preference,no,,yes,9
986,7/1/2019,female,100,silver,3,chocolate,no,>100K,yes,10
987,7/1/2019,male,100,no preference,9,swirl,yes,,yes,3
988,7/1/2019,female,100,blue,8,no preference,no,>100K,yes,7
989,7/1/2019,male,100,silver,3,chocolate,yes,,yes,7
990,7/1/2019,male,100,no preference,7,no preference,yes,,yes,8
991,7/1/2019,female,100,silver,1,specialty,no,>100K,yes,7
992,7/1/2019,female,100,no preference,10,swirl,yes,>100K,yes,10
993,7/1/2019,female,100,no preference,10,chocolate,yes,>100K,yes,10
994,7/1/2019,male,100,blue,9,chocolate,no,,yes,10
995,7/1/2019,female,100,no preference,10,chocolate,yes,>100K,yes,7
996,7/1/2019,female,100,blue,2,chocolate,yes,>100K,yes,7
997,7/1/2019,male,100,silver,7,chocolate,no,,yes,10
998,7/1/2019,male,100,black,2,chocolate,yes,,yes,8
999,7/1/2019,female,100,red,7,specialty,yes,>100K,yes,3
1000,7/1/2019,female,100,silver,5,chocolate,yes,>100K,yes,5
1001,7/1/2019,male,100,silver,0,chocolate,yes,,yes,6
1002,7/1/2019,female,100,white,0,swirl,yes,>100K,yes,8
1003,7/1/2019,male,100,no preference,4,chocolate,yes,,yes,7
1004,7/1/2019,female,100,silver,9,chocolate,yes,>100K,yes,7
1005,7/1/2019,female,100,black,7,specialty,yes,>100K,yes,7
1006,7/1/2019,male,100,silver,7,swirl,no,,yes,8
1007,7/1/2019,female,100,blue,8,specialty,yes,>100K,yes,4
1008,7/1/2019,male,100,blue,8,chocolate,yes,,yes,7
1009,7/1/2019,male,100,black,7,specialty,no,,yes,9
1010,7/1/2019,female,100,blue,7,specialty,no,>100K,yes,3
1011,7/1/2019,female,100,white,3,specialty,yes,>100K,yes,4
1012,7/1/2019,female,100,black,0,chocolate,no,>100K,yes,8
1013,7/1/2019,female,100,red,10,no preference,yes,>100K,yes,3
1014,7/1/2019,female,100,red,10,specialty,no,>100K,yes,10
1015,7/1/2019,male,100,silver,3,chocolate,yes,,yes,9
1016,7/1/2019,female,100,red,8,no preference,yes,>100K,yes,8
1017,7/1/2019,female,100,no preference,8,no preference,no,>100K,yes,1
1018,7/1/2019,female,100,blue,6,vanilla,yes,>100K,yes,3
1019,7/1/2019,male,100,blue,1,specialty,no,,yes,7
1020,7/1/2019,female,100,white,8,no preference,yes,>100K,yes,6
1021,7/1/2019,male,100,silver,4,no preference,yes,,yes,4
1022,7/1/2019,female,100,black,9,no preference,yes,>100K,yes,3
1023,7/1/2019,male,100,black,1,specialty,yes,,yes,9
1024,7/1/2019,female,100,blue,10,swirl,no,>100K,yes,10
1025,7/1/2019,male,100,black,0,no preference,no,,yes,7
1026,7/1/2019,female,100,white,7,vanilla,yes,>100K,yes,4
1027,7/1/2019,female,100,white,5,chocolate,yes,>100K,yes,5
1028,7/1/2019,male,100,white,10,no preference,yes,,yes,5
1029,7/1/2019,female,100,white,5,vanilla,no,>100K,yes,1
1030,7/1/2019,male,100,black,8,vanilla,yes,,yes,7
1031,7/1/2019,female,100,blue,0,swirl,yes,>100K,yes,8
1032,7/1/2019,female,100,red,2,no preference,yes,>100K,yes,5
1033,7/1/2019,male,100,silver,3,specialty,no,,yes,8
1034,7/1/2019,male,100,red,3,no preference,no,,yes,7
1035,7/1/2019,female,100,no preference,6,swirl,no,>100K,yes,9
1036,7/1/2019,female,100,red,3,specialty,yes,>100K,yes,7
1037,7/1/2019,male,100,blue,6,no preference,no,,yes,10
1038,7/1/2019,female,100,no preference,6,chocolate,no,>100K,yes,8
1039,7/1/2019,male,100,black,1,swirl,no,,yes,9
1040,7/1/2019,female,100,silver,1,chocolate,yes,>100K,yes,7
1041,7/1/2019,female,100,white,9,specialty,no,>100K,yes,6
1042,7/1/2019,male,100,no preference,1,chocolate,yes,,yes,8
1043,7/1/2019,male,100,silver,3,vanilla,yes,,yes,9
1044,7/1/2019,male,100,red,5,no preference,yes,,yes,10
1045,7/1/2019,female,100,black,8,specialty,yes,>100K,yes,7
1046,7/1/2019,male,100,white,10,no preference,no,,yes,6
1047,7/1/2019,female,100,blue,8,chocolate,yes,>100K,yes,10
1048,7/1/2019,male,100,black,3,specialty,yes,,yes,10
1049,7/1/2019,male,100,no preference,3,no preference,yes,,yes,10
1050,7/1/2019,female,100,white,3,swirl,yes,>100K,yes,5
1051,7/1/2019,female,100,no preference,7,vanilla,no,>100K,yes,9
1052,7/1/2019,male,100,silver,0,no preference,no,,yes,5
1053,7/1/2019,female,100,red,9,chocolate,yes,>100K,yes,5
1054,7/1/2019,male,100,blue,0,vanilla,yes,,yes,10
1055,7/1/2019,female,100,red,5,swirl,no,>100K,yes,1
1056,7/1/2019,female,100,blue,8,swirl,no,>100K,yes,8
1057,7/1/2019,female,100,blue,6,specialty,yes,>100K,yes,9
1058,7/1/2019,female,100,no preference,4,swirl,yes,>100K,yes,9
1059,7/1/2019,male,100,no preference,8,specialty,no,,yes,10
1060,7/1/2019,female,100,red,10,no preference,yes,>100K,yes,6
1061,7/1/2019,female,100,blue,3,vanilla,yes,>100K,yes,6
1062,7/1/2019,female,100,silver,2,swirl,yes,>100K,yes,3
1063,7/1/2019,male,100,no preference,3,specialty,yes,,yes,9
1064,7/1/2019,male,100,white,5,vanilla,no,,yes,2
1065,7/1/2019,female,100,silver,1,vanilla,yes,>100K,yes,5
1066,7/1/2019,female,100,silver,10,swirl,no,>100K,yes,4
1067,7/1/2019,female,100,white,9,swirl,yes,>100K,yes,6
1068,7/1/2019,male,100,red,7,swirl,no,,yes,8
1069,7/1/2019,male,100,white,10,chocolate,no,,yes,9
1070,7/1/2019,female,100,black,3,vanilla,no,>100K,yes,5
1071,7/1/2019,female,100,no preference,7,vanilla,no,>100K,yes,6
1072,7/1/2019,female,100,white,5,vanilla,yes,>100K,yes,8
1073,7/1/2019,female,100,silver,3,vanilla,yes,>100K,yes,1
1074,7/1/2019,female,100,blue,0,no preference,yes,>100K,yes,6
1075,7/1/2019,female,100,blue,3,swirl,no,>100K,yes,2
1076,7/1/2019,female,100,black,4,chocolate,yes,>100K,yes,5
1077,7/1/2019,female,100,blue,9,vanilla,yes,>100K,yes,10
1078,7/1/2019,female,100,blue,1,swirl,yes,>100K,yes,7
1079,7/1/2019,female,100,blue,2,vanilla,no,>100K,yes,1
1080,7/1/2019,female,100,no preference,2,chocolate,yes,>100K,yes,10
1081,7/1/2019,female,100,white,7,swirl,no,>100K,yes,8
1082,7/1/2019,female,100,red,9,swirl,yes,>100K,yes,3
1083,7/1/2019,male,100,white,4,specialty,yes,,yes,7
1084,7/1/2019,male,100,black,2,vanilla,yes,,yes,10
1085,7/1/2019,female,100,black,4,swirl,yes,>100K,yes,8
1086,7/1/2019,female,100,black,8,swirl,no,>100K,yes,4
1087,7/1/2019,female,100,black,5,vanilla,no,>100K,yes,6
1088,7/1/2019,female,100,red,4,vanilla,yes,>100K,yes,1
1089,7/1/2019,female,100,no preference,8,specialty,no,>100K,yes,1
1090,7/1/2019,female,100,silver,9,specialty,yes,>100K,yes,4
1091,7/1/2019,female,100,no preference,9,no preference,no,>100K,yes,10
1092,7/1/2019,female,100,no preference,9,vanilla,no,>100K,yes,4
1093,7/1/2019,male,100,silver,5,swirl,no,,yes,3
1094,7/1/2019,female,100,red,9,vanilla,no,>100K,yes,1
1095,7/1/2019,male,100,no preference,9,vanilla,yes,,yes,10
1096,7/1/2019,female,100,silver,3,chocolate,yes,>100K,yes,10
1097,7/1/2019,male,100,red,10,specialty,yes,,yes,8
1098,7/1/2019,female,100,white,3,chocolate,yes,>100K,yes,6
1099,7/1/2019,male,100,black,10,chocolate,yes,,yes,10
1100,7/1/2019,female,100,red,8,swirl,yes,>100K,yes,6
1101,7/1/2019,male,100,blue,1,specialty,no,,yes,2
1102,7/1/2019,female,100,black,3,specialty,yes,>100K,yes,2
1103,7/1/2019,female,100,no preference,6,specialty,no,>100K,yes,9
1104,7/1/2019,female,100,no preference,3,no preference,no,>100K,yes,8
1105,7/1/2019,male,100,no preference,5,chocolate,no,,yes,6
1106,7/1/2019,female,100,white,1,specialty,no,>100K,yes,8
1107,7/1/2019,female,100,silver,8,chocolate,no,>100K,yes,8
1108,7/1/2019,female,100,black,7,specialty,yes,>100K,yes,10
1109,7/1/2019,female,100,blue,10,vanilla,no,>100K,yes,2
1110,7/1/2019,female,100,silver,4,vanilla,no,>100K,yes,5
1111,7/1/2019,male,100,red,4,no preference,no,,yes,1
1112,7/1/2019,female,100,silver,2,no preference,no,>100K,yes,2
1113,7/1/2019,female,100,black,3,specialty,no,>100K,yes,5
1114,7/1/2019,female,100,white,0,specialty,no,>100K,yes,10
1115,7/1/2019,female,100,black,2,chocolate,yes,>100K,yes,8
1116,7/1/2019,male,100,red,6,swirl,yes,,yes,7
1117,7/1/2019,male,100,white,10,vanilla,no,,yes,9
1118,7/1/2019,male,100,black,0,swirl,no,,yes,10
1119,7/1/2019,female,100,red,3,chocolate,no,>100K,yes,9
1120,7/1/2019,female,100,red,3,no preference,no,>100K,yes,5
1121,7/1/2019,female,100,no preference,1,swirl,yes,>100K,yes,4
1122,7/1/2019,female,100,red,8,no preference,yes,>100K,yes,1
1123,7/1/2019,male,100,blue,0,chocolate,no,,yes,6
1124,7/1/2019,female,100,no preference,10,swirl,no,>100K,yes,8
1125,7/1/2019,female,100,blue,10,chocolate,no,>100K,yes,6
1126,7/1/2019,female,100,black,1,chocolate,no,>100K,yes,6
1127,7/1/2019,female,100,silver,4,specialty,yes,>100K,yes,6
1128,7/1/2019,male,100,silver,5,chocolate,yes,,yes,6
1129,7/1/2019,male,100,black,0,chocolate,no,,yes,7
1130,7/1/2019,female,100,white,10,chocolate,yes,>100K,yes,6
1131,7/1/2019,female,100,silver,0,specialty,no,>100K,yes,3
1132,7/1/2019,female,100,silver,4,vanilla,yes,>100K,yes,5
1133,7/1/2019,male,100,white,7,specialty,no,,yes,5
1134,7/1/2019,female,100,black,5,swirl,no,>100K,yes,4
1135,7/1/2019,female,100,no preference,9,swirl,yes,>100K,yes,8
1136,7/1/2019,female,100,blue,4,specialty,yes,>100K,yes,5
1137,7/1/2019,female,100,no preference,0,chocolate,no,>100K,yes,8
1138,7/1/2019,female,100,white,7,no preference,yes,>100K,yes,9
1139,7/1/2019,male,100,blue,1,vanilla,no,,yes,2
1140,7/1/2019,male,100,blue,4,no preference,yes,,yes,8
1141,7/1/2019,female,100,white,5,no preference,no,>100K,yes,8
1142,7/1/2019,female,100,red,6,chocolate,yes,>100K,yes,9
1143,7/1/2019,female,100,red,1,specialty,no,>100K,yes,10
1144,7/1/2019,male,100,no preference,3,specialty,no,,yes,4
1145,7/1/2019,female,100,red,3,chocolate,no,>100K,yes,10
1146,7/1/2019,female,100,black,7,chocolate,no,>100K,yes,8
1147,7/1/2019,male,100,red,10,chocolate,yes,,yes,10
1148,7/1/2019,female,100,blue,5,vanilla,yes,>100K,yes,6
1149,7/1/2019,male,100,silver,8,chocolate,no,,yes,8
1150,7/1/2019,female,100,white,0,specialty,yes,>100K,yes,8
1151,7/1/2019,male,100,blue,5,specialty,no,,yes,4
1152,7/1/2019,female,100,no preference,2,chocolate,no,>100K,yes,5
1153,7/1/2019,male,100,white,3,chocolate,no,,yes,8
1154,7/1/2019,female,100,white,6,vanilla,yes,>100K,yes,4
1155,7/1/2019,male,100,black,6,swirl,yes,,yes,3
1156,7/1/2019,female,100,black,5,no preference,no,>100K,yes,6
1157,7/1/2019,female,100,red,9,chocolate,yes,>100K,yes,8
1158,7/1/2019,female,100,silver,10,vanilla,no,>100K,yes,7
1159,7/1/2019,female,100,black,2,no preference,no,>100K,yes,5
1160,7/1/2019,male,100,silver,2,swirl,yes,,yes,3
1161,7/1/2019,female,100,blue,8,no preference,yes,>100K,yes,6
1162,7/1/2019,female,100,red,8,no preference,no,>100K,yes,10
1163,7/1/2019,female,100,red,5,vanilla,no,>100K,yes,7
1164,7/1/2019,male,100,silver,1,chocolate,no,,yes,5
1165,7/1/2019,female,100,red,8,chocolate,yes,>100K,yes,6
1166,7/1/2019,female,100,blue,5,chocolate,no,>100K,yes,10
1167,7/1/2019,male,100,no preference,4,vanilla,yes,,yes,4
1168,7/1/2019,male,100,blue,6,vanilla,no,,yes,2
1169,7/1/2019,female,100,no preference,0,chocolate,yes,>100K,yes,8
1170,7/1/2019,female,100,silver,1,swirl,no,>100K,yes,7
1171,7/1/2019,female,100,blue,10,vanilla,no,>100K,yes,2
1172,7/1/2019,female,100,black,1,chocolate,no,>100K,yes,5
1173,7/1/2019,female,100,no preference,5,chocolate,no,>100K,yes,8
1174,7/1/2019,female,100,white,7,vanilla,yes,>100K,yes,8
1175,7/1/2019,female,100,blue,2,no preference,yes,>100K,yes,7
1176,7/1/2019,female,100,black,6,chocolate,yes,>100K,yes,7
1177,7/1/2019,female,100,black,4,specialty,yes,>100K,yes,6
1178,7/1/2019,female,100,blue,3,no preference,yes,>100K,yes,8
1179,7/1/2019,female,100,white,0,specialty,no,>100K,yes,8
1180,7/1/2019,female,100,no preference,0,specialty,no,>100K,yes,9
1181,7/1/2019,female,100,white,9,swirl,yes,>100K,yes,4
1182,7/1/2019,male,100,no preference,9,no preference,no,,yes,3
1183,7/1/2019,female,100,no preference,0,no preference,yes,>100K,yes,10
1184,7/1/2019,female,100,red,0,chocolate,yes,>100K,yes,6
1185,7/1/2019,female,100,blue,10,vanilla,yes,>100K,yes,2
1186,7/1/2019,female,100,black,10,no preference,yes,>100K,yes,3
1187,7/1/2019,female,100,no preference,9,specialty,yes,>100K,yes,5
1188,7/1/2019,male,100,silver,4,vanilla,yes,,yes,7
1189,7/1/2019,female,100,white,9,specialty,yes,>100K,yes,6
1190,7/1/2019,female,100,blue,2,vanilla,yes,>100K,yes,6
1191,7/1/2019,female,100,black,2,vanilla,yes,>100K,yes,9
1192,7/1/2019,female,100,blue,2,no preference,yes,>100K,yes,4
1193,7/1/2019,male,100,no preference,9,no preference,yes,,yes,9
1194,7/1/2019,female,100,black,6,swirl,no,>100K,yes,10
1195,7/1/2019,female,100,blue,0,swirl,no,>100K,yes,5
1196,7/1/2019,female,100,black,5,specialty,no,>100K,yes,1
1197,7/1/2019,female,100,white,5,specialty,no,>100K,yes,4
1198,7/1/2019,male,100,no preference,6,chocolate,no,,yes,5
1199,7/1/2019,male,100,black,6,no preference,no,,yes,6
1200,7/1/2019,female,100,no preference,3,chocolate,yes,>100K,yes,7
1201,7/1/2019,male,100,blue,7,chocolate,no,,yes,5
1202,7/1/2019,female,100,blue,8,specialty,no,>100K,yes,1
1203,7/1/2019,female,100,white,4,specialty,yes,>100K,yes,2
1204,7/1/2019,female,100,silver,3,no preference,yes,>100K,yes,8
1205,7/1/2019,male,100,no preference,8,vanilla,yes,,yes,6
1206,7/1/2019,female,100,silver,3,specialty,yes,>100K,yes,2
1207,7/1/2019,female,100,blue,1,specialty,no,>100K,yes,9
1208,7/1/2019,male,100,white,10,no preference,yes,,yes,4
1209,7/1/2019,male,100,black,6,swirl,yes,,yes,1
1210,7/1/2019,female,100,black,1,swirl,yes,>100K,yes,7
1211,7/1/2019,male,100,red,6,chocolate,yes,,yes,5
1212,7/1/2019,female,100,no preference,1,specialty,yes,>100K,yes,5
1213,7/1/2019,male,100,red,9,vanilla,yes,,yes,1
1214,7/1/2019,female,100,blue,8,specialty,yes,>100K,yes,10
1215,7/1/2019,female,100,blue,3,vanilla,no,>100K,yes,4
1216,7/1/2019,male,100,no preference,7,chocolate,yes,,yes,9
1217,7/1/2019,male,100,red,7,specialty,yes,,yes,4
1218,7/1/2019,female,100,silver,9,swirl,no,>100K,yes,10
1219,7/1/2019,female,100,white,7,vanilla,yes,>100K,yes,2
1220,7/1/2019,female,100,white,10,chocolate,yes,>100K,yes,6
1221,7/1/2019,female,100,white,7,chocolate,no,>100K,yes,10
1222,7/1/2019,female,100,red,8,swirl,yes,>100K,yes,9
1223,7/1/2019,female,100,silver,1,no preference,no,>100K,yes,4
1224,7/1/2019,male,100,silver,10,specialty,yes,,yes,3
1225,7/1/2019,female,100,no preference,0,specialty,yes,>100K,yes,10
1226,7/1/2019,female,100,red,0,no preference,yes,>100K,yes,6
1227,7/1/2019,female,100,no preference,9,specialty,no,>100K,yes,5
1228,7/1/2019,male,100,red,8,no preference,yes,,yes,8
1229,7/1/2019,female,100,silver,4,no preference,yes,>100K,yes,9
1230,7/1/2019,female,100,red,4,specialty,yes,>100K,yes,3
1231,7/1/2019,male,100,black,6,no preference,no,,yes,2
1232,7/1/2019,male,100,blue,1,specialty,yes,,yes,3
1233,7/1/2019,male,100,no preference,9,chocolate,yes,,yes,6
1234,7/1/2019,female,100,no preference,4,chocolate,no,>100K,yes,10
1235,7/1/2019,female,100,red,9,swirl,no,>100K,yes,9
1236,7/1/2019,female,100,white,3,swirl,no,>100K,yes,5
1237,7/1/2019,female,100,blue,9,specialty,yes,>100K,yes,4
1238,7/1/2019,male,100,red,8,vanilla,no,,yes,5
1239,7/1/2019,female,100,no preference,3,no preference,yes,>100K,yes,10
1240,7/1/2019,female,100,red,1,no preference,yes,>100K,yes,7
1241,7/1/2019,female,100,white,5,chocolate,no,>100K,yes,5
1242,7/1/2019,female,100,no preference,4,vanilla,no,>100K,yes,10
1243,7/1/2019,female,100,silver,8,chocolate,no,>100K,yes,10
1244,7/1/2019,male,100,no preference,0,swirl,yes,,yes,3
1245,7/1/2019,female,100,black,10,specialty,no,>100K,yes,5
1246,7/1/2019,female,100,red,0,swirl,yes,>100K,yes,8
1247,7/1/2019,male,100,no preference,6,vanilla,no,,yes,2
1248,7/1/2019,female,100,white,3,swirl,no,>100K,yes,10
1249,7/1/2019,female,100,no preference,2,chocolate,yes,>100K,yes,7
1250,7/1/2019,female,100,no preference,2,no preference,no,>100K,yes,6
1251,7/1/2019,female,100,blue,2,specialty,yes,>100K,yes,9
1252,7/1/2019,female,100,blue,4,no preference,yes,>100K,yes,6
1253,7/1/2019,male,100,black,1,no preference,yes,,yes,6
1254,7/1/2019,female,100,red,7,specialty,yes,>100K,yes,5
1255,7/1/2019,female,100,no preference,3,vanilla,no,>100K,yes,10
1256,7/1/2019,female,100,black,1,vanilla,no,>100K,yes,1
1257,7/1/2019,male,100,red,6,swirl,yes,,yes,9
1258,7/1/2019,female,100,red,6,specialty,no,>100K,yes,6
1259,7/1/2019,female,100,white,8,chocolate,no,>100K,yes,5
1260,7/1/2019,female,100,no preference,5,specialty,yes,>100K,yes,7
1261,7/1/2019,female,100,white,5,specialty,no,>100K,yes,3
1262,7/1/2019,female,100,white,6,no preference,yes,>100K,yes,5
1263,7/1/2019,male,100,blue,1,no preference,yes,,yes,8
1264,7/1/2019,female,100,red,1,swirl,yes,>100K,yes,7
1265,7/1/2019,male,100,black,5,swirl,yes,,yes,6
1266,7/1/2019,female,100,no preference,8,vanilla,no,>100K,yes,6
1267,7/1/2019,female,100,no preference,4,chocolate,yes,>100K,yes,10
1268,7/1/2019,female,100,red,5,no preference,yes,>100K,yes,6
1269,7/1/2019,male,100,silver,0,swirl,no,,yes,10
1270,7/1/2019,male,100,no preference,5,chocolate,no,,yes,9
1271,7/1/2019,female,100,red,8,chocolate,no,>100K,yes,8
1272,7/1/2019,male,100,silver,5,specialty,yes,,yes,10
1273,7/1/2019,female,100,white,2,no preference,no,>100K,yes,7
1274,7/1/2019,female,100,red,9,no preference,no,>100K,yes,4
1275,7/1/2019,female,100,white,8,vanilla,yes,>100K,yes,7
1276,7/1/2019,male,100,white,1,chocolate,yes,,yes,7
1277,7/1/2019,female,100,red,1,specialty,no,>100K,yes,9
1278,7/1/2019,female,100,no preference,8,swirl,yes,>100K,yes,9
1279,7/1/2019,female,100,silver,0,swirl,no,>100K,yes,9
1280,7/1/2019,male,100,red,1,swirl,no,,yes,6
1281,7/1/2019,female,100,silver,10,vanilla,yes,>100K,yes,2
1282,7/1/2019,male,100,silver,8,no preference,yes,,yes,10
1283,7/1/2019,female,100,no preference,7,no preference,no,>100K,yes,5
1284,7/1/2019,female,100,no preference,2,swirl,no,>100K,yes,7
1285,7/1/2019,female,100,red,5,no preference,yes,>100K,yes,2
1286,7/1/2019,female,100,silver,2,specialty,no,>100K,yes,2
1287,7/1/2019,male,100,silver,10,chocolate,no,,yes,6
1288,7/1/2019,male,100,white,4,no preference,yes,,yes,4
1289,7/1/2019,female,100,no preference,8,vanilla,yes,>100K,yes,4
1290,7/1/2019,male,100,white,6,no preference,no,,yes,9
1291,7/1/2019,male,100,red,4,swirl,yes,,yes,5
1292,7/1/2019,female,100,white,10,swirl,no,>100K,yes,1
1293,7/1/2019,female,100,black,10,no preference,no,>100K,yes,5
1294,7/1/2019,female,100,white,5,no preference,no,>100K,yes,2
1295,7/1/2019,male,100,white,6,no preference,yes,,yes,10
1296,7/1/2019,female,100,black,2,specialty,yes,>100K,yes,8
1297,7/1/2019,female,100,black,4,swirl,yes,>100K,yes,7
1298,7/1/2019,female,100,no preference,5,no preference,no,>100K,yes,3
1299,7/1/2019,female,100,no preference,3,chocolate,yes,>100K,yes,7
1300,7/1/2019,male,100,no preference,8,swirl,no,,yes,2
1301,7/1/2019,male,100,silver,1,vanilla,yes,,yes,2
1302,7/1/2019,female,100,no preference,3,specialty,yes,>100K,yes,2
1303,7/1/2019,male,100,white,4,no preference,no,,yes,10
1304,7/1/2019,female,100,red,1,chocolate,no,>100K,yes,7
1305,7/1/2019,male,100,no preference,4,specialty,no,,yes,5
1306,7/1/2019,male,100,no preference,10,no preference,yes,,yes,6
1307,7/1/2019,female,100,no preference,3,swirl,yes,>100K,yes,3
1308,7/1/2019,female,100,black,5,chocolate,yes,>100K,yes,10
1309,7/1/2019,female,100,white,2,specialty,no,>100K,yes,1
1310,7/1/2019,female,100,silver,4,specialty,no,>100K,yes,1
1311,7/1/2019,female,100,no preference,0,swirl,no,>100K,yes,3
1312,7/1/2019,female,100,silver,1,no preference,no,>100K,yes,8
1313,7/1/2019,female,100,white,5,no preference,yes,>100K,yes,1
1314,7/1/2019,female,100,red,6,swirl,no,>100K,yes,8
1315,7/1/2019,female,100,black,7,no preference,no,>100K,yes,4
1316,7/1/2019,female,100,white,2,swirl,no,>100K,yes,7
1317,7/1/2019,male,100,white,3,vanilla,yes,,yes,2
1318,7/1/2019,male,100,black,2,specialty,yes,,yes,8
1319,7/1/2019,male,100,white,2,no preference,no,,yes,5
1320,7/1/2019,male,100,silver,4,no preference,no,,yes,2
1321,7/1/2019,male,100,no preference,9,swirl,yes,,yes,3
1322,7/1/2019,female,100,white,10,specialty,yes,>100K,yes,1
1323,7/1/2019,female,100,black,8,vanilla,no,>100K,yes,10
1324,7/1/2019,male,100,red,5,chocolate,yes,,yes,8
1325,7/1/2019,male,100,red,3,swirl,yes,,yes,3
1326,7/1/2019,male,100,black,9,vanilla,yes,,yes,9
1327,7/1/2019,female,100,white,1,chocolate,yes,>100K,yes,10
1328,7/1/2019,female,100,blue,9,chocolate,no,>100K,yes,8
1329,7/1/2019,female,100,white,2,vanilla,yes,>100K,yes,2
1330,7/1/2019,female,100,blue,3,chocolate,no,>100K,yes,8
1331,7/1/2019,male,100,red,0,chocolate,yes,,yes,8
1332,7/1/2019,male,100,no preference,8,no preference,no,,yes,10
1333,7/1/2019,female,100,white,8,swirl,no,>100K,yes,3
1334,7/1/2019,male,100,white,3,chocolate,yes,,yes,5
1335,7/1/2019,female,100,blue,7,chocolate,no,>100K,yes,7
1336,7/1/2019,female,100,white,6,no preference,no,>100K,yes,9
1337,7/1/2019,female,100,black,2,specialty,no,>100K,yes,5
1338,7/1/2019,male,100,white,5,swirl,no,,yes,3
1339,7/1/2019,female,100,white,0,specialty,no,>100K,yes,3
1340,7/1/2019,female,100,no preference,6,chocolate,yes,>100K,yes,10
1341,7/1/2019,female,100,white,7,swirl,no,>100K,yes,3
1342,7/1/2019,male,100,red,5,swirl,no,,yes,5
1343,7/1/2019,female,100,blue,3,specialty,yes,>100K,yes,8
1344,7/1/2019,male,100,black,1,swirl,no,,yes,1
1345,7/1/2019,female,100,white,3,swirl,yes,>100K,yes,5
1346,7/1/2019,male,100,silver,10,specialty,no,,yes,6
1347,7/1/2019,female,100,silver,5,no preference,no,>100K,yes,5
1348,7/1/2019,male,100,black,8,no preference,no,,yes,7
1349,7/1/2019,male,100,black,9,no preference,no,,yes,2
1350,7/1/2019,female,100,blue,0,vanilla,yes,>100K,yes,4
1351,7/1/2019,female,100,silver,4,swirl,yes,>100K,yes,6
1352,7/1/2019,female,100,blue,10,chocolate,no,>100K,yes,7
1353,7/1/2019,female,100,blue,9,no preference,no,>100K,yes,4
1354,7/1/2019,female,100,silver,4,vanilla,yes,>100K,yes,10
1355,7/1/2019,female,100,white,5,specialty,yes,>100K,yes,4
1356,7/1/2019,female,100,no preference,6,specialty,no,>100K,yes,5
1357,7/1/2019,female,100,blue,2,vanilla,no,>100K,yes,5
1358,7/1/2019,female,100,no preference,8,no preference,yes,>100K,yes,7
1359,7/1/2019,female,100,no preference,2,specialty,no,>100K,yes,10
1360,7/1/2019,female,100,black,9,no preference,yes,>100K,yes,3
1361,7/1/2019,female,100,red,2,chocolate,yes,>100K,yes,8
1362,7/1/2019,male,100,silver,3,swirl,no,,yes,2
1363,7/1/2019,female,100,red,8,swirl,no,>100K,yes,5
1364,7/1/2019,male,100,no preference,7,vanilla,yes,,yes,7
1365,7/1/2019,male,100,no preference,0,chocolate,yes,,yes,8
1366,7/1/2019,male,100,silver,1,no preference,no,,yes,7
1367,7/1/2019,female,100,blue,3,specialty,no,>100K,yes,8
1368,7/1/2019,male,100,silver,3,specialty,yes,,yes,6
1369,7/1/2019,female,100,black,9,swirl,yes,>100K,yes,3
1370,7/1/2019,female,100,red,7,chocolate,yes,>100K,yes,7
1371,7/1/2019,male,100,silver,2,swirl,no,,yes,10
1372,7/1/2019,female,100,black,4,chocolate,no,>100K,yes,6
1373,7/1/2019,female,100,silver,1,swirl,yes,>100K,yes,7
1374,7/1/2019,male,100,blue,8,swirl,yes,,yes,7
1375,7/1/2019,male,100,silver,6,no preference,yes,,yes,8
1376,7/1/2019,female,100,silver,6,no preference,yes,>100K,yes,2
1377,7/1/2019,female,100,white,8,chocolate,yes,>100K,yes,10
1378,7/1/2019,female,100,no preference,4,specialty,no,>100K,yes,8
1379,7/1/2019,female,100,silver,1,specialty,yes,>100K,yes,6
1380,7/1/2019,male,100,no preference,2,chocolate,no,,yes,7
1381,7/1/2019,male,100,red,2,chocolate,yes,,yes,6
1382,7/1/2019,female,100,black,0,specialty,yes,>100K,yes,1
1383,7/1/2019,female,100,black,10,vanilla,yes,>100K,yes,9
1384,7/1/2019,male,100,silver,10,chocolate,no,,yes,6
1385,7/1/2019,female,100,silver,1,no preference,no,>100K,yes,4
1386,7/1/2019,female,100,black,6,specialty,no,>100K,yes,10
1387,7/1/2019,female,100,no preference,3,no preference,no,>100K,yes,1
1388,7/1/2019,female,100,black,3,specialty,no,>100K,yes,8
1389,7/1/2019,male,100,no preference,0,no preference,yes,,yes,4
1390,7/1/2019,female,100,blue,8,no preference,no,>100K,yes,3
1391,7/1/2019,female,100,red,2,vanilla,yes,>100K,yes,4
1392,7/1/2019,female,100,white,8,no preference,yes,>100K,yes,9
1393,7/1/2019,female,100,black,1,vanilla,no,>100K,yes,1
1394,7/1/2019,male,100,silver,3,chocolate,yes,,yes,7
1395,7/1/2019,female,100,no preference,5,swirl,no,>100K,yes,5
1396,7/1/2019,female,100,silver,9,swirl,no,>100K,yes,3
